what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1585703559554
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1585703586199
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1585703598055
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1585703609661
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1585703609692
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1585703633872
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585703635042
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585703695181
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1585703697225
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1585703703902
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1585703705618
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1585703720921
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1585703729891
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1585703747644
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1585703782307
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1585703795115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585703796784
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585703808593
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585703810668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585703821714
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1585703832197
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585703839155
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585703841479
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1585703841511
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1585703841557
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1585703841620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585703842126
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585703854388
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1585703856712
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585703879036
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585703888786
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1585703909815
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1585703975413
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1585703988579
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1585704003243
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1585704026331
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1585704031355
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1585704037439
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1585704062664
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585704092632
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585704122231
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1585704124181
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1585704129485
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585704139859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585704142230
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1585704142246
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1585704142293
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1585704142355
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585704142527
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585704145171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585704153766
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585704159226
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1585704161894
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1585704161894
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1585704163905
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1585704165699
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1585704165699
