127.0.0.1 - - [11/Jan/2023:18:32:14 +0100] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:32:15 +0100] "GET /BTS/E.Professeur/Evaluation HTTP/1.1" 200 45315
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:32:15 +0100] "GET /BTS/css/jquery.dataTables.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:32:15 +0100] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:32:15 +0100] "GET /BTS/css/fontawesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:32:15 +0100] "GET /BTS/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:32:15 +0100] "GET /BTS/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:32:15 +0100] "GET /BTS/css/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:32:15 +0100] "GET /BTS/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:32:16 +0100] "GET /BTS/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:32:16 +0100] "GET /BTS/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:32:16 +0100] "GET /BTS/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:32:16 +0100] "GET /BTS/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:32:16 +0100] "GET /BTS/js/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:32:16 +0100] "GET /BTS/js/dataTables.buttons.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:32:16 +0100] "GET /BTS/js/buttons.flash.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:32:16 +0100] "GET /BTS/js/dataTables.bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:32:16 +0100] "GET /BTS/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:32:16 +0100] "GET /BTS/js/jszip.min.js HTTP/1.1" 304 -
