127.0.0.1 - - [14/Feb/2023:20:22:50 +0100] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:22:51 +0100] "GET /BTS/index.jsp HTTP/1.1" 200 17440
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:22:51 +0100] "GET /BTS/css/publicPages.css HTTP/1.1" 200 3617
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:22:51 +0100] "GET /BTS/css/bootstrap.min.css HTTP/1.1" 200 127349
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:22:51 +0100] "GET /BTS/css/all.css HTTP/1.1" 200 77226
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:22:51 +0100] "GET /BTS/js/jquery.min.js HTTP/1.1" 200 95962
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:22:51 +0100] "GET /BTS/js/popper.js HTTP/1.1" 200 21007
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:22:51 +0100] "GET /BTS/images/filieres/se1.jpg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:22:51 +0100] "GET /BTS/images/gallerie/ibnsina.jpg HTTP/1.1" 200 7689
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:22:51 +0100] "GET /BTS/images/filieres/mi2.jpg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:22:51 +0100] "GET /BTS/images/filieres/pme-pmi2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:22:51 +0100] "GET /BTS/images/filieres/cpi1.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:22:51 +0100] "GET /BTS/js/bootstrap.min.js HTTP/1.1" 200 58078
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:22:52 +0100] "GET /BTS/images/filieres/dsi1.jpg HTTP/1.1" 200 6126847
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:22:52 +0100] "GET /BTS/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 76100
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:22:56 +0100] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:05 +0100] "POST /BTS/Authentification HTTP/1.1" 200 16830
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:06 +0100] "GET /BTS/css/dataTables.bootstrap.css HTTP/1.1" 200 5127
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:06 +0100] "GET /BTS/css/jquery.dataTables.min.css HTTP/1.1" 200 13901
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:06 +0100] "GET /BTS/css/style.css HTTP/1.1" 200 231327
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:06 +0100] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:06 +0100] "GET /BTS/css/fontawesome.min.css HTTP/1.1" 200 55757
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:06 +0100] "GET /BTS/css/all.min.css HTTP/1.1" 200 57184
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:06 +0100] "GET /BTS/css/jquery-ui.min.css HTTP/1.1" 200 19070
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:06 +0100] "GET /BTS/js/jquery-ui.min.js HTTP/1.1" 200 36681
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:06 +0100] "GET /BTS/js/jquery.dataTables.min.js HTTP/1.1" 200 84501
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:07 +0100] "GET /BTS/js/dataTables.bootstrap.js HTTP/1.1" 200 4741
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:07 +0100] "GET /BTS/js/main.js HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:07 +0100] "GET /BTS/js/buttons.flash.min.js HTTP/1.1" 200 26264
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:07 +0100] "GET /BTS/js/jszip.min.js HTTP/1.1" 200 95838
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:07 +0100] "GET /BTS/js/dataTables.buttons.min.js HTTP/1.1" 200 20324
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:07 +0100] "GET /BTS/js/pdfmake.min.js HTTP/1.1" 200 1170765
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:07 +0100] "GET /BTS/js/vfs_fonts.js HTTP/1.1" 200 926233
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:07 +0100] "GET /BTS/js/buttons.html5.min.js HTTP/1.1" 200 25071
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:07 +0100] "GET /BTS/js/buttons.print.min.js HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:07 +0100] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:10 +0100] "GET /BTS/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13568
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:13 +0100] "GET /BTS/E.DirecteurEtudes/Classes HTTP/1.1" 200 44740
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:13 +0100] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:13 +0100] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:14 +0100] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:14 +0100] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:14 +0100] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:15 +0100] "GET /BTS/Classe/List HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:19 +0100] "GET /BTS/E.DirecteurEtudes/ClasseDetails?id=1 HTTP/1.1" 200 41522
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:20 +0100] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:20 +0100] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:20 +0100] "GET /BTS/Classe/Details?id=1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:22 +0100] "GET /BTS/Scolarite/List?classeId=1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:25 +0100] "GET /BTS/E.DirecteurEtudes/Classes HTTP/1.1" 200 44740
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:26 +0100] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:26 +0100] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:26 +0100] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:23:26 +0100] "GET /BTS/Classe/List HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:24:20 +0100] "GET /BTS/E.DirecteurEtudes/ClasseDetails?id=2 HTTP/1.1" 200 41522
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:24:20 +0100] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:24:20 +0100] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:24:21 +0100] "GET /BTS/Classe/Details?id=2 HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:24:21 +0100] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:24:21 +0100] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:24:21 +0100] "GET /BTS/Scolarite/List?classeId=2 HTTP/1.1" 200 4135
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:24:22 +0100] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:20:24:22 +0100] "GET null null" 400 -
