127.0.0.1 - - [08/Mar/2023:16:16:32 +0100] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:33 +0100] "GET /BTS/index.jsp HTTP/1.1" 200 17440
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:34 +0100] "GET /BTS/images/filieres/cpi1.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:34 +0100] "GET /BTS/images/filieres/se1.jpg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:34 +0100] "GET /BTS/images/filieres/mi2.jpg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:34 +0100] "GET /BTS/images/filieres/pme-pmi2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:39 +0100] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:46 +0100] "POST /BTS/Authentification HTTP/1.1" 200 14890
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:47 +0100] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:47 +0100] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:50 +0100] "GET /BTS/E.Professeur/Classes HTTP/1.1" 200 42823
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:51 +0100] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:51 +0100] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:51 +0100] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:51 +0100] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:51 +0100] "GET /BTS/Classe/List HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:54 +0100] "GET /BTS/E.Professeur/ClasseDetails?id=1 HTTP/1.1" 200 62995
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:55 +0100] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:55 +0100] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:55 +0100] "GET /BTS/Classe/Details?id=1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:55 +0100] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:55 +0100] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:56 +0100] "GET /BTS/Scolarite/List?classeId=1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:16:57 +0100] "GET /BTS/Controle/List?classeId=1 HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:22 +0100] "GET /BTS/E.Professeur/Controle?id=1 HTTP/1.1" 200 63030
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:22 +0100] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:23 +0100] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:23 +0100] "GET /BTS/Classe/Details?id=1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:23 +0100] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:23 +0100] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:23 +0100] "GET /BTS/Scolarite/List?classeId=1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:23 +0100] "GET /BTS/Controle/List?classeId=1 HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:32 +0100] "GET /BTS/E.Professeur/Controle?id=18 HTTP/1.1" 200 63036
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:32 +0100] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:33 +0100] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:33 +0100] "GET /BTS/Classe/Details?id=18 HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:33 +0100] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:33 +0100] "GET /BTS/Scolarite/List?classeId=18 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:33 +0100] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:33 +0100] "GET /BTS/Controle/List?classeId=18 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:42 +0100] "GET /BTS/E.Professeur/Controle?id=1 HTTP/1.1" 200 63030
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:44 +0100] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:45 +0100] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:45 +0100] "GET /BTS/Classe/Details?id=1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [08/Mar/2023:16:18:45 +0100] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
